0	娅
1	儒
2	躯
3	钾
4	餐
5	久
6	栗
7	溴
8	疯
9	条
10	老
11	堪
12	瞬
13	胛
14	涵
15	暨
16	回
17	参
18	卜
19	杆
20	姹
21	帽
22	砌
23	嘈
24	襟
25	轿
26	墓
27	偷
28	疟
29	季
30	嗜
31	禀
32	暇
33	鲟
34	脚
35	膏
36	想
37	姜
38	峋
39	脱
40	篆
41	坟
42	鹭
43	碘
44	疮
45	价
46	经
47	辉
48	嫡
49	纽
50	袅
51	惆
52	咐
53	丑
54	镜
55	旋
56	枯
57	啦
58	屿
59	岖
60	要
61	扩
62	舞
63	背
64	零
65	觞
66	桨
67	毋
68	霜
69	里
70	免
71	矢
72	器
73	芜
74	才
75	敬
76	丕
77	玻
78	蹇
79	菽
80	佞
81	童
82	拦
83	盟
84	踏
85	任
86	科
87	曲
88	泽
89	序
90	怕
91	遮
92	托
93	匙
94	午
95	甜
96	拍
97	邹
98	面
99	裕
100	彝
101	瘤
102	卸
103	鸡
104	日
105	鹤
106	沔
107	宰
108	慨
109	至
110	酚
111	脉
112	觅
113	闲
114	旦
115	汕
116	望
117	细
118	骋
119	鲜
120	腕
121	互
122	法
123	补
124	瞩
125	裁
126	保
127	橱
128	凯
129	钽
130	人
131	瘠
132	棋
133	扼
134	萋
135	宜
136	酥
137	誓
138	雾
139	使
140	发
141	召
142	垦
143	可
144	癫
145	剑
146	那
147	潭
148	颤
149	柯
150	朱
151	〈
152	璋
153	兀
154	毕
155	繁
156	郄
157	竹
158	板
159	炊
160	氟
161	富
162	慕
163	濡
164	翻
165	丈
166	宏
167	惩
168	尉
169	栾
170	畜
171	三
172	抗
173	耍
174	麟
175	谅
176	患
177	史
178	索
179	间
180	功
181	嬉
182	驶
183	莞
184	猫
185	伫
186	勉
187	寒
188	缈
189	俊
190	扁
191	徜
192	民
193	历
194	淘
195	帐
196	陇
197	再
198	连
199	琅
200	拚
201	存
202	糊
203	绸
204	翘
205	亡
206	一
207	何
208	筌
209	享
210	域
211	芸
212	箴
213	唤
214	窒
215	围
216	隔
217	９
218	物
219	绰
220	囤
221	逊
222	揽
223	痍
224	菌
225	硝
226	迈
227	惠
228	尤
229	楷
230	铝
231	殆
232	都
233	哩
234	帕
235	炭
236	偏
237	栈
238	斟
239	蕊
240	吁
241	省
242	丽
243	筋
244	赤
245	司
246	氨
247	讽
248	打
249	幸
250	从
251	妇
252	翰
253	轶
254	青
255	愉
256	戴
257	违
258	词
259	璃
260	碧
261	搅
262	亿
263	吆
264	接
265	摈
266	章
267	略
268	纯
269	关
270	咖
271	添
272	这
273	勃
274	贿
275	舱
276	戍
277	拢
278	酸
279	脑
280	幕
281	或
282	获
283	彼
284	楔
285	允
286	但
287	糙
288	瞠
289	哉
290	掌
291	袱
292	茬
293	淡
294	蒋
295	诺
296	凭
297	骞
298	触
299	宫
300	敛
301	根
302	虑
303	行
304	览
305	床
306	甭
307	翌
308	搭
309	腼
310	谴
311	首
312	质
313	缎
314	遏
315	纱
316	金
317	狸
318	揶
319	商
320	辨
321	鸿
322	匾
323	爷
324	逢
325	控
326	畅
327	赂
328	糕
329	剔
330	吃
331	卓
332	毖
333	晶
334	豪
335	垒
336	摧
337	骏
338	炕
339	央
340	岫
341	钢
342	蟠
343	岳
344	量
345	绒
346	韧
347	职
348	师
